description,poster,rating,title,votes
"Seventeen-year-old Hajime Nagumo is your average, everyday otaku. However, his simple life of pulling all-nighters and sleeping in school is suddenly turned upside down when he, along with the rest of his class, is summoned to a fantasy world. They're treated like heroes and tasked with the duty of saving the human race from utter extinction. But what should have been...","https://m.media-amazon.com/images/M/MV5BMmRhOTVlOTctZDQ5Ni00NTg3LWJmMzctMjhiYTMwZDU5Yjc0XkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.0,Arifureta Shokugyou de Sekai Saikyou,1.7K
"The adventures of a 4th grader named Clarence along with his two best friends, Sumo and Jeff.","https://m.media-amazon.com/images/M/MV5BMTY2ZTAxNWUtYjVjYy00OWE1LWE0YTktNWU2MjFhZmRiMTAzXkEyXkFqcGdeQXVyMzM4NjcxOTc@._V1_QL75_UY281_CR14,0,190,281_.jpg",6.6,Clarence,8K
"An alien named Zim from the planet Irk is sent on a secret mission to conquer Earth, not realising that his leaders were just trying to get rid of him and hoped that he would die. Once there, Zim manages to disguise himself as a human child, but one boy named Dib sees through his disguise.","https://m.media-amazon.com/images/M/MV5BOTZjZWM2OGUtOGFjMC00NjEzLWJjNjktNzA1MTZlZWQzZGE1XkEyXkFqcGdeQXVyODA4OTIyMzY@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.3,Invader ZIM,20K
"The Goodman family lives with their lovable pet dog, Mr. Pickles, a deviant border collie with a secret satanic streak.","https://m.media-amazon.com/images/M/MV5BYWM0NTFmNTAtNjY4MS00NjAxLThmZWYtMTIzMDE5ZTNlZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR1,0,190,281_.jpg",7.4,Mr. Pickles,7.4K
A series of horrible sudden deaths keep happening to a group of creatures caused by themselves doing the most stupid things.,"https://m.media-amazon.com/images/M/MV5BMzRiMjRkNDYtNjNmZC00MTQwLThjNGQtZDEzZDA0OWVlOWUxXkEyXkFqcGdeQXVyMjAxODI1Nzk@._V1_QL75_UY281_CR14,0,190,281_.jpg",7.0,Happy Tree Friends,17K
"Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous.","https://m.media-amazon.com/images/M/MV5BMTkyNDQxOTg5MF5BMl5BanBnXkFtZTYwODA2MDE3._V1_QL75_UY281_CR2,0,190,281_.jpg",6.3,Gekijô-ban poketto monsutâ - Myûtsû no gyakushû,42K
"Batman, along with a number of his allies and adversaries, finds himself transplanted from modern Gotham City to feudal Japan.","https://m.media-amazon.com/images/M/MV5BMjFlMDc2NGMtYjkyMS00MTlhLTgxNWItMmYxZjc5NzVhMGE0XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_QL75_UY281_CR5,0,190,281_.jpg",5.6,Batman Ninja,19K
Wonder Park tells the story of an amusement park where the imagination of a wildly creative girl named June comes alive.,"https://m.media-amazon.com/images/M/MV5BMjI5MTQ5NzE4Nl5BMl5BanBnXkFtZTgwNTk2MDA5NjM@._V1_QL75_UX190_CR0,8,190,281_.jpg",5.9,Wonder Park,11K
"An animated series based on the popular Dr. Seuss story ""Green Eggs and Ham.""","https://m.media-amazon.com/images/M/MV5BYmQ4YTg1OTMtMjMzZi00MGJhLWJhOTAtMWRjNWIzMmU0NWQwXkEyXkFqcGdeQXVyMTIwMjk5NTky._V1_QL75_UY281_CR0,0,190,281_.jpg",8.2,Green Eggs and Ham,2.1K
"A powerful statement against war, Barefoot Gen is a disturbing story about the effect of the atomic bomb on a boy's life and the lives of the Japanese people.","https://m.media-amazon.com/images/M/MV5BNWMwZDY2MTYtMzk5OC00MWZlLWI3NzctYTQxNjNmZTJjYmVmXkEyXkFqcGdeQXVyNDYzNTI2ODc@._V1_QL75_UY281_CR6,0,190,281_.jpg",8.0,Hadashi no Gen,7.5K
